total_meters,price,floor,floors_count,rooms_count,location,district,underground
32.6,8200000,9,9,1,1,64,77
39.1,8200000,5,14,1,1,28,33
33.0,8200000,8,9,1,1,46,33
43.0,8150000,12,14,1,1,25,53
34.5,8260000,5,8,1,1,43,51
34.4,8260197,5,8,1,1,43,51
33.2,8250000,19,22,1,1,79,33
42.0,8349000,20,23,1,1,71,159
34.0,8300000,7,14,1,1,100,33
38.6,8300000,5,12,1,1,117,33
38.0,8300000,1,16,1,1,71,159
42.0,8350000,20,23,1,1,71,159
32.5,8350000,9,14,1,1,2,2
35.0,8300000,8,12,1,1,64,217
31.5,8300000,7,12,1,1,71,1
15.1,8305000,2,2,1,1,37,43
18.9,8300000,2,12,1,1,44,52
19.0,8350000,5,6,1,1,92,118
35.0,8350000,1,9,1,1,53,61
32.9,8300000,3,9,1,1,64,217
31.7,8350000,1,9,1,1,17,18
